MabaID,Type,Model,SerialNumber,Department,Measurement,ChannelsNumber_current,ChannelsNumber_TO_FILL
21-114,אוגר נתונים,34401A,36140200,אלקטרוניקה,,,
21-142,אוגר נתונים,Hydra 2,7970007,אלקטרוניקה,,,
21-242,אוגר נתונים,Hydra 2,4998603,אלקטרוניקה,,,
21-243,אוגר נתונים,Hydra 2,7157602,אלקטרוניקה,,,
21-260,אוגר נתונים,Hydra 2,5227600,אלקטרוניקה,,,
21-261,אוגר נתונים,Hydra 2,5857650,אלקטרוניקה,,,
21-297,אוגר נתונים,Hydra 2,5145612,אלקטרוניקה,,,
21-337,אוגר נתונים,Hydra 2,6170000,אלקטרוניקה,,,
21-357,אוגר נתונים,Hydra 2,6170000,אלקטרוניקה,,,
21-378,אוגר נתונים,Hydra 2,5242653,אלקטרוניקה,,,
21-401,אוגר נתונים,ATDM(DEWMASTER),4010-B-14,טמפרטורה ולחות,,,
21-422,אוגר נתונים,TTI-22,291744/1,אלקטרוניקה,,,
21-474,אוגר נתונים,Hydra 3,33570008,אלקטרוניקה,,,
21-479,אוגר נתונים,34401A,MY41052233,אלקטרוניקה,,,
21-503,אוגר נתונים,ATDM(DEWMASTER),52078,טמפרטורה ולחות,,,
21-534,אוגר נתונים,Hydra 3,36930070,אלקטרוניקה,,,
21-597,אוגר נתונים,Hydra 3,46355014,אלקטרוניקה,,,
21-622,אוגר נתונים,34401A,MY41054963,אלקטרוניקה,,,
21-639,אוגר נתונים,34401A,MY47003863,אלקטרוניקה,,,
21-640,אוגר נתונים,34401A,US36115638,אלקטרוניקה,,,
21-651,אוגר נתונים,Hydra 3,55375007,אלקטרוניקה,,,
21-655,אוגר נתונים,Hydra 2,6231309,אלקטרוניקה,,,
21-656,אוגר נתונים,Hydra 2,6231310,אלקטרוניקה,,,
21-662,אוגר נתונים,373HX,22-0104,טמפרטורה ולחות,,,
21-667,אוגר נתונים,Hydra 2,7641017,אלקטרוניקה,,,
